exp    test    dev
S2UT reduced	1.0132781530208772	
S2UT (r=1)	0.7291608945966739	0.7282850189644986
Pt. kmeans S2UT (reduced)		0.7737426462786339
Pt. kmeans S2UT (r=5)	0.8705387467751252	0.8692353624049394
Pt. kmeans S2UT (r=1)	0.8147379224691135	0.8149189667626817
S2UT (r=5)	3.0706400148727413	2.9149432742989987
Pt. kmeans S2UT (r=1)	0.8147383403622966	0.8149155493510549
Pt. kmeans S2UT (r=5)	0.8705349353669878	0.8692137122003666
Pt. kmeans S2UT (reduced)		0.7737426462786339
S2UT (reduced)	0.9593448437831703	0.9592166096457297
Pt. kmeans S2UT (reduced)	1.0132781530208772	
Pt. kmeans S2UT (reduced)	0.7752118083754836	
Pt. kmeans S2UT (reduced)		0.7737522252744014
